title	description
Chocolate	Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.
Guatemala: Heart of the Mayan World	From Sierra de las Minas to Esquipulas, explore Guatemala's cultural and geological wealth, including ancient Mayan cities and other natural wonders.
The Zoya Factor	A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.
Atlantics	Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.
Chip and Potato	Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal.
Crazy people	Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.
I Lost My Body	Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film.
Kalushi: The Story of Solomon Mahlangu	The life and times of iconic South African liberation fighter Solomon Mahlangu, who battled the forces of apartheid, come into focus.
La Reina del Sur	This compelling show tells the story of the legendary Teresa Mendoza, a courageous woman who is perceived as conquering the world of drug trafficking.
Lagos Real Fake Life	Two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus.
Payday	After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.
Sugar Rush Christmas	"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking."
The Accidental Spy	Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.
The Charming Stepmom	A quirky fashion student becomes the nanny of a handsome widower’s three kids, experiencing a series of silly antics and schemes.
The Island	When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.
The Movies That Made Us	These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.
Holiday Rush	A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.
Levius	Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.
Lugar de Mulher	Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.
Merry Happy Whatever	A struggling LA musician tries to win over his new girlfriend's gruff dad and quirky, tight-knit siblings on a 10-day Christmas visit to Philadelphia.
Mythomaniac	Burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.
The Score	Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.
Broken	This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.
Defiance	In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.
Evvarikee Cheppoddu	When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.
Little Singham: Mahabali	In a journey back in time to the ancient city of Mirchigadh, Little Singham vies for the title of Ultimate Warrior and fights a zombie king’s army.
The Body Remembers When the World Broke Open	After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives.
The Irishman	Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.
Mike Birbiglia: The New One	Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.
Super Monsters Save Christmas	It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!
The Crime	The peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes.
True: Winter Wishes	An ice crystal from a frosty realm is freezing everything in the Rainbow Kingdom, its citizens too! Can True save Winter Wishfest – and her friends?
Zona Rosa	An assortment of talent takes the stage for a night of honest stand-up featuring four of Mexico's funniest LGBTQ comedians.
Dirty John	Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.
Pranaam	Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.
What the F* Is Going On?	Featuring extensive interviews, this documentary takes a critical look at the gender inequality in Spain as the feminist movement aims to shift reality.
Awake	After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.
